year,access_to_electricity_rural_percent_of_rural_population,agricultural_irrigated_land_percent_of_total_agricultural_land,agricultural_land_percent_of_land_area,agricultural_land_sq_km,agricultural_raw_materials_exports_percent_of_merchandise_exports,agricultural_raw_materials_imports_percent_of_merchandise_imports,agriculture_forestry_and_fishing_value_added_percent_of_gdp,agriculture_forestry_and_fishing_value_added_current_us,annual_freshwater_withdrawals_agriculture_percent_of_total_freshwater_withdrawal,arable_land_percent_of_land_area,arable_land_hectares_per_person,arable_land_hectares,average_precipitation_in_depth_mm_per_year,cereal_production_metric_tons,cereal_yield_kg_per_hectare,crop_production_index_2014_2016_100,employment_in_agriculture_percent_of_total_employment_modeled_ilo_estimate,employment_in_agriculture_female_percent_of_female_employment_modeled_ilo_estimate,employment_in_agriculture_male_percent_of_male_employment_modeled_ilo_estimate,fertilizer_consumption_percent_of_fertilizer_production,fertilizer_consumption_kilograms_per_hectare_of_arable_land,food_production_index_2014_2016_100,forest_area_percent_of_land_area,forest_area_sq_km,land_area_sq_km,land_under_cereal_production_hectares,livestock_production_index_2014_2016_100,permanent_cropland_percent_of_land_area,rural_land_area_sq_km,rural_land_area_where_elevation_is_below_5_meters_percent_of_total_land_area,rural_land_area_where_elevation_is_below_5_meters_sq_km,rural_population,rural_population_percent_of_total_population,rural_population_growth_annual_percent,rural_population_living_in_areas_where_elevation_is_below_5_meters_percent_of_total_population,surface_area_sq_km,n_disaster_events,n_drought_events,n_flood_events,n_storm_events,total_deaths,total_affected,total_damage_adj_000us,insured_damage_adj_000us,reconstruction_costs_adj_000us,storm_magnitude_mean,flood_magnitude_mean,drought_magnitude_mean,average_mean_surface_air_temperature_annual_mean_c,x5_year_smooth_gaussian_smooth,days_precip_over_20mm,agri_orientation_index,official_flows_agri_usd_m,cereal_yield_resid_d,any_insured_damage_reported.x,any_insured_damage_reported.y
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,25.89,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.88,25.76,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68,25.64,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.13,25.53,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45,25.45,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.69,25.4,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,25.38,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.35,25.4,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.59,25.44,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.36,25.5,NA,NA,NA,NA,NA,NA
