year,access_to_electricity_rural_percent_of_rural_population,agricultural_irrigated_land_percent_of_total_agricultural_land,agricultural_land_percent_of_land_area,agricultural_land_sq_km,agricultural_raw_materials_exports_percent_of_merchandise_exports,agricultural_raw_materials_imports_percent_of_merchandise_imports,agriculture_forestry_and_fishing_value_added_percent_of_gdp,agriculture_forestry_and_fishing_value_added_current_us,annual_freshwater_withdrawals_agriculture_percent_of_total_freshwater_withdrawal,arable_land_percent_of_land_area,arable_land_hectares_per_person,arable_land_hectares,average_precipitation_in_depth_mm_per_year,cereal_production_metric_tons,cereal_yield_kg_per_hectare,crop_production_index_2014_2016_100,employment_in_agriculture_percent_of_total_employment_modeled_ilo_estimate,employment_in_agriculture_female_percent_of_female_employment_modeled_ilo_estimate,employment_in_agriculture_male_percent_of_male_employment_modeled_ilo_estimate,fertilizer_consumption_percent_of_fertilizer_production,fertilizer_consumption_kilograms_per_hectare_of_arable_land,food_production_index_2014_2016_100,forest_area_percent_of_land_area,forest_area_sq_km,land_area_sq_km,land_under_cereal_production_hectares,livestock_production_index_2014_2016_100,permanent_cropland_percent_of_land_area,rural_land_area_sq_km,rural_land_area_where_elevation_is_below_5_meters_percent_of_total_land_area,rural_land_area_where_elevation_is_below_5_meters_sq_km,rural_population,rural_population_percent_of_total_population,rural_population_growth_annual_percent,rural_population_living_in_areas_where_elevation_is_below_5_meters_percent_of_total_population,surface_area_sq_km,n_disaster_events,n_drought_events,n_flood_events,n_storm_events,total_deaths,total_affected,total_damage_adj_000us,insured_damage_adj_000us,reconstruction_costs_adj_000us,storm_magnitude_mean,flood_magnitude_mean,drought_magnitude_mean,average_mean_surface_air_temperature_annual_mean_c,x5_year_smooth_gaussian_smooth,days_precip_over_20mm,agri_orientation_index,official_flows_agri_usd_m,cereal_yield_resid_d,any_insured_damage_reported.x,any_insured_damage_reported.y
2000,61.8,NA,37.67649327564812,112340,0.5556335182016113,1.3659021381620111,13.941095211674694,11664484861.033323,NA,16.882986215917096,0.06322103486655144,5034000,2348,16901159.42,2580.8,72.37999999999998,35.7809092921966,23.6703233766558,43.4888688302479,230.66270583949856,145.91775923718714,70.04,24.51373377603381,73092.6,298170,6548909,62.83,15.762819867860618,284863.2827639,4.22921942776347,12445.3683085,48461277,60.8615828602258,1.754975256627767,5.46857869539386,300000,6,0,0,6,394,6187431,156043,2804,0,156,NA,NA,26.31,26.3,33.82,NA,371.336657,-116.09445724526297,TRUE,TRUE
2001,63.4,NA,37.508803702585766,111840,0.5189717001706164,1.186752388720009,13.302809302832047,10498741319.328686,NA,16.715296642854746,0.06122738198594109,4984000,2348,17480298.91,2667.8,74.84999999999998,35.5579854747277,23.5392764973286,43.1965275073013,217.43419221993432,156.7847110754414,72.73999999999998,24.356259851762417,72623.06,298170,6552289,66.64,15.762819867860618,NA,NA,NA,49217360,60.4624814391157,1.5481340119981428,NA,300000,6,0,0,6,587,3450437,180113,0,0,133.33333333333334,NA,NA,26.33,26.29,28.1,0.33,312.783635,-80.34812948028653,FALSE,FALSE
2002,65,NA,37.34446792098468,111350,0.48472302256118216,0.9915092995744856,13.448413414570409,11338000413.808603,NA,16.550960861253646,0.05940852296700393,4935000,2348,17590069.12,2730.6,76.84999999999998,35.3527859264748,23.3970339752868,42.9496358272219,171.2702710107423,139.3404255319149,74.97,24.19878592749103,72153.52,298170,6441894,69.39,15.762819867860618,NA,NA,NA,49878389,60.0446077068123,1.3341415984852647,NA,300000,7,1,0,6,215,982194,25035,0,0,165,NA,178,26.21,26.28,21.14,0.27,84.632252,-68.80180171531042,FALSE,FALSE
2003,63.5,NA,37.6966160244156,112400,0.5592131520800746,0.950505456538022,13.150947662883636,11446465563.289251,NA,16.66834356239729,0.0586556398784471,4970000,2348,18115689.95,2823.4,79.44,34.843476707592004,23.0129501204656,42.3558434008258,257.5736980451669,166.9963782696177,77.33,24.04131200321964,71683.98,298170,6416363,71.13,15.9975852701479,NA,NA,NA,50506231,59.6071493864562,1.2508892032258352,NA,300000,8,0,0,8,95,466261,61781,0,0,170,NA,NA,26.08,26.26,24.54,0.3,93.068621,-27.25547395033386,FALSE,FALSE
2004,84.5,NA,38.4679880605024,114700,0.5824144277149629,0.916895010752509,13.984403691720148,13285463151.203451,NA,17.17141228158433,0.05926302904638471,5120000,2348,19910353,2992.3,82.15,34.2945754969959,22.4827070663546,41.6361956856571,323.47743883822983,171.7595703125,79.54,23.883838078948248,71214.44,298170,6653886,72.25,16.26588858704766,NA,NA,NA,51101739,59.1492942011879,1.1721813133276926,NA,300000,8,0,0,8,1861,3241278,236691,0,0,236.25,NA,NA,26.21,26.23,22.66,0.23,76.533669,90.39085381464261,FALSE,FALSE
2005,69.9,NA,38.082302042459,113550,0.5444502226487317,0.8663964425952134,13.517547003593007,14520545925.232,NA,16.785726263540933,0.056864685521473925,5005000,2348,19856348,3049,83.65999999999998,33.7683832308762,22.2220012557881,41.1113336724909,288.09691915068873,156.53246753246754,81.04999999999998,23.726364154676855,70744.9,298170,6512315,73.59999999999998,16.26588858704766,NA,NA,NA,51639167,58.6702298741481,1.046190700030174,NA,300000,2,0,0,2,34,20011,3297,0,0,107.5,NA,NA,26.28,26.2,26.67,0.31,96.39728,95.8371815796188,FALSE,FALSE
2006,70,8.33333333333333,38.83690512123956,115800,0.5085126161385704,0.7857307195563521,13.361249106967538,17056025484.371572,83.13475968,17.28879498272797,0.05759198299933818,5155000,2348,21408902.02,3180.8,86.14,33.214053331133,21.8730948417668,40.5241556585268,291.7851637802912,143.57924345295828,84.09,23.568890230405472,70275.36,298170,6730683,78.29,16.517422946641176,NA,NA,NA,52066611,58.1691441284774,0.824344465271584,NA,300000,10,0,0,10,1805,7821808,528483,0,0,167.14285714285714,NA,NA,26.32,26.17,27.54,0.28,91.434765,176.38350934459535,FALSE,FALSE
2007,73.09999999999998,8.227311280746395,39.541201328101415,117900,0.5054917414482387,0.7468322926942597,13.606507617711006,21223486188.28336,82.44576420999998,17.74155682999631,0.0580838793583991,5290000,2348,22977304,3319.8,90.94,32.5664143564638,21.4142034740917,39.7959492816939,332.58613204941,159.30812854442345,89.06,23.41141630613409,69805.82,298170,6921286,83.98,16.7689573062347,NA,NA,NA,52507530,57.6529500040503,0.8432708289333615,NA,300000,9,1,0,8,78,1909794,15458,0,0,149.5,NA,NA,26.33,26.16,28.6,0.38,98.466296,264.1298371095719,FALSE,FALSE
2008,74.59999999999998,9.067443796835969,40.279035449575744,120100,0.6341641170209241,0.7174263354831859,14.51607475731336,26364766535.370754,81.47753034,18.27816346379582,0.058792375481119846,5450000,2348,23744012,3334.3,95.37,32.366229095968,21.2155497242974,39.5027746671103,755.7403468910583,104.97302752293578,92.86000000000001,23.253942381862696,69336.28,298170,7121079,85.69,16.970184793909514,NA,NA,NA,52695033,56.8452507592984,0.3564612746965713,NA,300000,11,0,0,11,819,6851979,660364,67289,0,147.5,NA,NA,26.04,26.15,34.44,0.49,132.629605,227.37616487454812,TRUE,TRUE
2009,76.09999999999998,9.396694214876032,40.580876681087965,121000,0.6000518821437042,0.68376233686868515,14.540213315315246,25587104886.256805,82.23494648,18.445853036858168,0.05827243422498987,5500000,2348,23300701,3228.9,94.51,32.3774027495332,21.37754780098,39.551982416442,1197.1484900080652,121.44527272727272,92.59,23.09646845759131,68866.74,298170,7216272,86.97,17.10433645235939,NA,NA,NA,52538354,55.6643227390473,-0.29777453760427625,NA,300000,14,0,0,14,1242,12221663,1399654,0,0,131,NA,NA,26.07,26.17,33.2,0.39,94.489117,70.72249263952452,FALSE,FALSE
2010,78.5,9.107438016528926,40.580876681087965,121000,0.7025093652788136,0.6379896225197493,13.748865052421728,28648357930.575584,81.51501686999998,17.77509474460878,0.055015135649937645,5300000,2348,22149369,3231.9,92.49,31.532075675082705,20.8204966553823,38.5809314239768,7391.177824845749,151.43547169811322,91.51,22.93899453331992,68397.2,298170,6853269,88.98999999999998,17.77509474460878,NA,NA,NA,52483678,54.479182327335295,-0.10412292334962092,NA,300000,3,0,0,3,212,2595545,419925,0,0,158.33333333333334,NA,NA,26.26,26.2,26.08,0.43,130.599429,22.468820404500995,FALSE,FALSE
2011,81.2,9.265905383360522,41.11748331488748,122600,1.0467054686992747,0.7259147086160161,14.095735151082303,33014569981.389248,80.77659739,18.27816346379582,0.0554715204430263,5450000,2348,23655648,3340.6,96.89,31.279108429942,20.7098229392843,38.2634149414439,377.1636314994936,144.8612844036697,95.14,23.055994902236975,68746.06,298170,7081336,90.64,17.80863265922125,NA,NA,NA,52382857,53.316636753524094,-0.19228447104513183,NA,300000,12,0,0,12,1782,9468676,754607,0,0,142.5,NA,NA,26.02,26.24,41.2,0.25,101.214403,79.91514816947708,FALSE,FALSE
2012,80.7,NA,41.687627863299454,124300,0.8408725079258285,0.6446365200234757,13.095807010678156,34300608565.79024,80.60725476999998,18.714156353757925,0.05570223589174168,5580000,2348,25440477.82,3492.6,100.4,30.8297371328032,20.3856587522956,37.6999963413938,228.19469112169236,118.35125448028674,98.47000000000001,23.17299527115404,69094.92,298170,7284199,93.45,17.942784317671126,NA,NA,NA,52173131,52.0817215189574,-0.4011750743151325,NA,300000,9,0,0,9,2039,7560480,1287438,0,0,173,NA,NA,26.36,26.28,33.61,0.37,125.977138,180.66147593445353,FALSE,FALSE
