"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","DOM","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Dominican Republic","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","7.54","6.92","5.01","4.99","8.42","8.46","7.83","2.82","7.57","2.81","7.15","6.67","3.72","9.66","3.73","4.82","6.87","2.06","2.56","5.75","6.44","5.52","5.26","4.69","8.37","3.83","3.18","5.63","7.48","12.99","5.67","6.09","6.27","6.01","5.69","6.42","9.9","10.93","8.06","3.59","7.38","3.25","7.27","9.98","4.05","5.03","6.71","2.32","6.65","5.24","3.41","3.65","4.52","5.43","5.99","11.61","5.37","9.97","7.42","5.78","10.1","8.34","8.74","3.99","3.26","3.32","9.77","10.11","3.89","4.99","6.88","5.04","5.1","6.22"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","GRL","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Greenland","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","1.97","1.58","2.45","2.22","2.95","2.48","3.27","2.07","2.45","2.92","2.98","2.18","2.43","2.62","3.12","2.42","1.34","2.56","2.03","2.07","2.33","1.57","3.64","2.18","2.36","2.67","3.77","2.12","2.63","2.13","2.41","1.84","2.13","2.2","2.86","2.4","2.78","2.89","2.15","1.98","2.48","2.6","2.46","2.68","2.17","2.07","3.19","2.82","2.4","2.48","2.46","2.7","3.32","3.36","2.44","2.99","1.77","2.61","3.21","2.38","2.37","1.99","2.61","2.7","3.31","2.51","2.97","3.05","3.11","2.79","2.78","3.11","2.87","2.87"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","DMA","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Dominica","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","4.01","4.3","0.0","2.6","2.33","4.07","3.66","3.61","3.72","1.28","4.09","8.02","2.28","5.99","4.97","2.72","5.27","2.0","1.66","2.33","0.59","0.0","0.28","2.33","6.06","2.33","2.02","5.29","2.66","6.71","2.04","3.64","1.89","1.59","7.24","6.94","2.31","10.63","5.89","1.0","4.64","2.29","1.35","1.73","2.94","5.28","5.24","1.61","5.95","2.66","1.0","1.35","1.04","3.31","5.93","12.8","2.94","4.29","4.7","1.94","8.24","13.63","8.69","4.66","4.02","2.97","7.73","2.56","4.02","4.23","6.18","2.93","4.95","8.46"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","AUT","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Austria","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","6.0","7.13","6.83","5.44","11.92","7.48","9.56","8.02","10.73","10.74","9.04","9.75","8.24","7.14","10.0","11.18","13.81","9.1","7.96","6.78","10.84","6.33","10.01","8.56","8.49","9.66","8.12","5.79","7.7","12.14","8.77","9.33","9.17","8.56","6.51","8.99","8.63","9.65","8.08","8.12","8.52","11.44","9.76","7.5","6.98","8.49","12.27","8.87","9.31","11.1","9.73","9.02","11.14","6.12","7.99","10.64","7.51","9.87","9.44","10.58","10.52","8.99","11.12","11.26","11.98","8.09","11.27","9.62","8.21","9.88","10.84","10.32","7.62","13.25"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","WLD","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","World","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","7.41","7.58","7.55","7.61","7.76","7.72","7.58","7.79","7.97","7.76","7.73","7.67","7.79","7.8","8.0","7.89","7.93","7.97","7.96","8.29","8.04","7.8","8.1","8.13","7.86","7.83","7.69","7.83","7.78","7.83","7.98","7.95","7.66","8.03","7.49","7.41","7.71","8.06","8.06","7.88","8.06","8.12","8.05","8.14","8.12","8.4","8.42","8.7","9.18","8.38","8.73","8.73","8.99","9.08","8.92","9.11","8.98","9.25","9.06","9.16","9.44","9.13","9.0","9.28","9.28","9.31","9.52","9.45","9.39","9.43","9.61","9.37","9.43","9.28"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","LKA","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Sri Lanka","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","4.51","11.34","5.77","7.21","18.97","18.41","11.77","15.86","16.4","12.34","15.54","11.35","16.42","17.83","14.26","23.49","14.71","19.14","13.08","18.12","11.28","16.07","11.73","13.38","7.16","13.41","13.45","15.83","15.51","14.04","9.18","10.99","12.35","8.68","21.04","15.09","12.3","13.44","13.24","13.18","13.46","12.09","11.73","17.23","17.3","13.52","15.14","17.86","16.14","15.75","17.18","13.3","17.19","14.1","16.67","14.99","19.65","17.14","22.88","17.66","25.74","24.07","17.88","16.96","26.2","23.03","10.32","17.07","18.8","17.21","14.85","21.03","20.93","27.54"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","FRO","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Faroe Islands","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","3.2","2.19","2.01","2.53","2.56","1.84","1.6","1.2","1.68","2.36","1.44","0.84","3.57","1.22","2.92","0.65","1.99","0.21","2.06","2.91","4.5","3.07","0.31","1.15","3.28","0.65","2.05","1.61","2.7","2.73","0.89","4.73","3.54","2.57","1.63","2.99","2.13","1.62","3.67","0.48","0.89","2.29","3.02","1.44","0.26","3.29","1.38","4.89","4.17","1.38","2.94","1.11","0.75","2.37","1.68","3.8","2.67","3.0","3.32","1.77","0.47","2.18","1.81","2.14","2.13","2.31","0.58","2.93","2.35","2.12","2.02","0.62","6.29","1.45"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","SSD","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","South Sudan","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","13.44","7.85","10.43","11.37","4.98","6.8","6.0","7.01","7.15","6.49","7.34","7.29","7.5","7.71","6.9","4.94","5.3","7.46","5.67","6.42","6.48","7.55","7.53","4.83","7.22","6.91","5.14","6.04","6.84","7.63","5.66","4.14","3.8","4.99","3.27","6.33","5.09","4.7","4.83","4.39","3.54","5.28","3.75","3.45","5.33","4.7","5.46","5.16","5.48","4.7","3.54","4.47","2.96","3.89","2.9","3.96","4.69","4.5","4.36","3.28","4.7","3.66","3.67","3.12","3.19","3.49","2.74","3.15","3.15","5.17","5.47","4.3","4.69","3.6"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","MDG","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Madagascar","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","17.42","12.9","19.65","19.61","15.55","13.04","12.3","13.48","19.15","16.15","12.13","12.63","12.9","12.52","12.04","14.77","11.24","15.91","15.18","14.91","13.45","17.27","19.28","18.29","12.56","16.13","12.54","16.53","13.18","12.89","14.36","13.34","18.65","14.32","19.01","13.71","15.27","11.48","12.28","17.67","11.15","13.03","12.28","13.8","18.79","16.99","16.27","16.23","17.47","11.57","16.99","13.19","16.66","18.46","18.57","12.6","12.04","21.47","15.53","14.85","15.24","14.94","15.89","13.36","17.06","24.68","12.52","14.6","15.08","16.3","15.17","10.69","15.61","16.8"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","SHN","WB_CCKP_R20MM","_T","_T","_T","D","_Z","_Z","_Z","W_AVG","COUNT","2","WB_CCKP","602","0","A","PU","Annual","Saint Helena, Ascension and Tristan da Cunha (UK)","Days with Precipitation over 20mm","Total","All age ranges or no breakdown by age","Total","Days","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Count (Integer)","Two","CCKP ERA5 Dataset","CCYY","Units","Normal value","Public","5.11","4.78","3.67","4.22","5.36","3.67","4.57","3.62","2.3","3.91","4.26","3.86","3.92","6.8","3.58","3.81","5.48","6.28","3.88","5.83","4.56","4.25","5.55","5.73","4.54","3.15","3.16","3.22","4.37","5.71","4.4","5.68","7.58","6.07","6.06","8.74","6.92","4.57","4.81","4.77","6.3","4.94","7.04","6.22","5.28","6.26","6.41","6.7","4.68","3.91","5.72","6.06","4.88","3.68","5.32","5.9","5.01","5.49","8.84","5.04","5.66","5.92","4.41","4.49","5.8","4.8","5.2","5.83","5.72","8.5","5.76","3.94","5.72","8.02"
