"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","NPL","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Nepal","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","0.14","0.17","0.14","0.15","0.26","0.16","0.15","0.15","0.24","0.29","0.36","0.26","0.28","0.34","0.33","0.37","0.45","0.29","0.23","0.32","0.36","0.28","0.33","0.25"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","SOM","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Somalia","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","","","","","","","","","","","","","","","","","0.02","0.02","0.02","0.01","0.02","0.02","0.02",""
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","YEM","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","O","PU","Annual","Yemen, Rep.","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Missing value","Public","","","","","","","","","","","","","","","","","","","","","","","",""
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","KAZ","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Kazakhstan","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","0.32","0.4","0.53","0.7","0.58","0.71","0.72","0.89","0.6","0.86","0.84","0.94","0.73","0.94","0.92","1.0","0.96","0.97","1.15","0.86","0.84","0.87","0.8","0.72"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","POL","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Poland","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","0.49","0.44","0.64","0.48","0.73","0.79","0.64","0.8","0.69","0.6","0.53","0.51","0.4","0.31","0.35","0.39","0.35","0.49","0.48","0.45","0.42","0.5","0.51","0.48"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","DEU","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Germany","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","0.63","0.71","0.69","0.65","0.67","0.72","0.67","0.58","0.64","0.61","0.55","0.51","0.48","0.54","0.62","0.59","0.52","0.61","0.5","0.46","0.45","0.33","0.5","0.51"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","ZMB","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Zambia","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","0.09","0.11","0.12","0.25","0.31","0.45","0.56","0.54","0.73","0.7","1.2","0.6","0.74","1.23","2.02","1.07","1.11","1.58","1.88","1.12","0.68","1.35","2.21","2.21"
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","KOR","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","O","PU","Annual","Korea, Rep.","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Missing value","Public","","","","","","","","","","","","","","","","","","","","","","","",""
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","TLS","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","O","PU","Annual","Timor-Leste","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Missing value","Public","","","","","","","","","","","","","","","","","","","","","","","",""
"datastructure","WB.DATA360:DS_DATA360(1.2)","I","A","GMB","UN_SDG_AG_PRD_ORTIND","_Z","_T","_T","IX","_Z","_Z","_Z","W_AVG","IX","2","UN_SDG","602","0","A","PU","Annual","Gambia, The","2.a.1 The agriculture orientation index for government expenditures","Not applicable","All age ranges or no breakdown by age","Total","Index","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Index","Two","Sustainable Development Goals (SDG) Database","CCYY","Units","Normal value","Public","0.06","0.07","0.06","0.06","0.06","0.07","0.08","0.06","0.06","0.05","0.07","0.07","0.07","0.08","0.09","0.09","0.12","0.06","0.06","0.12","0.08","0.08","",""
